 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 2.51000000E+01 -1.54878845E-04 -1.48177913E-04 -1.48019750E-04 -1.60395260E-04
 2.52000000E+01 -1.36525235E-04 -1.30619977E-04 -1.30489032E-04 -1.41347635E-04
 2.53000000E+01 -1.17822218E-04 -1.12728062E-04 -1.12624983E-04 -1.21937654E-04
 2.54000000E+01 -9.87729381E-05 -9.45051897E-05 -9.44306123E-05 -1.02168477E-04
 2.55000000E+01 -7.93807303E-05 -7.59545602E-05 -7.59091041E-05 -8.20434577E-05
 2.56000000E+01 -5.96491188E-05 -5.70795528E-05 -5.70638221E-05 -6.15661496E-05
 2.57000000E+01 -3.95818217E-05 -3.78837300E-05 -3.78983119E-05 -4.07403132E-05
 2.58000000E+01 -1.91827555E-05 -1.83708415E-05 -1.84163058E-05 -1.95699204E-05
 2.59000000E+01  1.54395628E-06  1.45516784E-06  1.37826942E-06  1.94083938E-06
 2.60000000E+01  2.25939749E-05  2.15901499E-05  2.14812850E-05  2.37875538E-05
 2.61000000E+01  4.39627439E-05  4.20297521E-05  4.18884084E-05  4.59655821E-05
 2.62000000E+01  6.56454883E-05  6.27694161E-05  6.25951024E-05  6.84700498E-05
 2.63000000E+01  8.76372098E-05  8.38043739E-05  8.35966209E-05  9.12958433E-05
 2.64000000E+01  1.09932682E-04  1.05129642E-04  1.04888002E-04  1.14437605E-04
 2.65000000E+01  1.32526443E-04  1.26740013E-04  1.26464063E-04  1.37889728E-04
 2.66000000E+01  1.55412791E-04  1.48630053E-04  1.48319394E-04  1.61646353E-04
 2.67000000E+01  1.78585775E-04  1.70794090E-04  1.70448347E-04  1.85701362E-04
 2.68000000E+01  2.02039186E-04  1.93226211E-04  1.92845035E-04  2.10048376E-04
 2.69000000E+01  2.25766557E-04  2.15920254E-04  2.15503325E-04  2.34680750E-04
 2.70000000E+01  2.49761160E-04  2.38869814E-04  2.38416838E-04  2.59591571E-04
 2.71000000E+01  2.74016012E-04  2.62068238E-04  2.61578951E-04  2.84773655E-04
 2.72000000E+01  2.98523875E-04  2.85508632E-04  2.84982796E-04  3.10219543E-04
 2.73000000E+01  3.23277263E-04  3.09183861E-04  3.08621267E-04  3.35921500E-04
 2.74000000E+01  3.48268446E-04  3.33086550E-04  3.32487016E-04  3.61871516E-04
 2.75000000E+01  3.73489443E-04  3.57209087E-04  3.56572458E-04  3.88061300E-04
 2.76000000E+01  3.98932025E-04  3.81543618E-04  3.80869766E-04  4.14482283E-04
 2.77000000E+01  4.24587702E-04  4.06082039E-04  4.05370863E-04  4.41125619E-04
 2.78000000E+01  4.50447719E-04  4.30815993E-04  4.30067416E-04  4.67982181E-04
 2.79000000E+01  4.76503048E-04  4.55736864E-04  4.54950835E-04  4.95042566E-04
 2.80000000E+01  5.02744399E-04  4.80835783E-04  4.80012274E-04  5.22297095E-04
 2.81000000E+01  5.29162224E-04  5.06103634E-04  5.05242640E-04  5.49735816E-04
 2.82000000E+01  5.55746720E-04  5.31531055E-04  5.30632594E-04  5.77348506E-04
 2.83000000E+01  5.82487826E-04  5.57108439E-04  5.56172551E-04  6.05124677E-04
